Security Name,Exchange,Symbol,Quantity,Amount,,,,,,,,
"",,Buy,Sell,Net,Buy,Sell,Brokerage,CVT,WHT,FED,Net,
PERVEZ AHMED SECURITIES LTD,KSE,PASL,"3,061","1,326","1,735","5,375.49","2,005.00",131.61,0.00,0.00,19.78,"3,521.88"
PIA HOLDING COMPANY LIMITED - CLASS A,KSE,PIAHCLA,424,21,403,"7,541.45",360.78,13.17,0.00,0.00,1.99,"7,195.83"
PIONEER CEMENT LIMITED,KSE,PIOC,194,90,104,"33,594.88","15,140.26",68.94,0.00,0.00,10.33,"18,533.89"
POWER CEMENT LIMITED,KSE,POWER,"3,455","3,455",0,"18,177.97","19,771.64",207.30,0.00,0.00,31.09,"(1,355.28)"
QUICE FOOD INDUSTRIES LIMITED,KSE,QUICE,259,616,(357),"2,084.95","4,674.53",26.25,0.00,0.00,3.95,"(2,559.38)"
SAZGAR ENGINEERING WORKS LIMITED,KSE,SAZEW,36,44,(8),"36,655.85","43,430.48",111.04,0.00,0.00,16.61,"(6,646.98)"
SHELL PAKISTAN LIMITED,KSE,SHEL,238,238,0,"33,752.88","35,022.14",101.92,0.00,0.00,15.33,"(1,152.01)"
Security Name,Exchange,Symbol,Quantity,Amount,,,,,,,,
"",,,Buy,Sell,Net,Buy,Sell,Brokerage,CVT,WHT,FED,Net
SIDDIQ SONS TIN PLATE LTD,KSE,STPL,"1,374","1,374",0,"8,891.10","7,848.54",82.44,0.00,0.00,12.38,"1,137.38"
SUI NORTHERN GAS PIPELINES LIM,KSE,SNGP,316,482,(166),"20,562.46","30,866.62",76.58,0.00,0.00,11.51,"(10,216.07)"
SUI SOUTHERN GAS COMPANY LIMIT,KSE,SSGC,"1,408","1,408",0,"13,091.56","12,686.08",84.48,0.00,0.00,12.68,502.64
TARIQ GLASS INDUSTRIES LIMITED,KSE,TGL,230,230,0,"25,067.76","26,029.40",76.63,0.00,0.00,11.49,(873.52)
TELECARD LIMITED.,KSE,TELE,"2,276","2,276",0,"17,673.01","17,272.02",136.41,0.00,0.00,20.49,557.89
THE SEARLE COMPANY LIMITED,KSE,SEARL,"1,702","1,431",271,"97,546.70","82,703.12",175.65,0.00,0.00,26.43,"15,045.66"
TREET CORPRATION LIMITED,KSE,TREET,"2,243","2,243",0,"34,096.53","34,089.30",134.52,0.00,0.00,20.20,161.95
TRG PAKISTAN LIMITED,KSE,TRG,361,484,(123),"19,996.59","25,425.72",68.14,0.00,0.00,10.25,"(5,350.74)"
UNITED BANK LIMITED,KSE,UBL,44,44,0,"11,306.38","11,215.60",33.79,0.00,0.00,5.07,129.64
WAVES HOME APPLIANCES LIMITED,KSE,WAVESAPP,440,440,0,"3,977.74","3,455.00",26.40,0.00,0.00,3.97,553.11
WORLD CALL TELECOM,KSE,WTL,"37,512","31,049","6,463","47,381.80","38,330.14","1,451.74",0.00,0.00,217.79,"10,721.19"
YOUSUF WEAVING MILLS LIMITED,KSE,YOUW,"1,226","1,226",0,"6,227.25","6,002.77",73.56,0.00,0.00,11.07,309.11
Grand Total:,,,,"1,938,569.46","1,757,266.74","8,203.04",0.00,0.00,"1,231.79","190,737.55",,
